Gene,b3,b4,i1,i2,i1n,i2n,b3n,b4n,Start,Stop,Order,Strand,Length,Function,InsectFitness
829,0,0,0,45,0,45,0,0,875586,875936,829,-,351,transcriptional activator FlhD,0
869,0,0,0,2,0,2,0,0,915750,915986,869,-,237,toxin protein,0
894,0,0,0,14,0,14,0,0,937506,937916,894,+,411,protein; Hypothetical gene,0
902,0,1,108,164,82,164,0,0,940927,941073,902,+,147,protein,0
921,0,0,56,40,42,40,0,0,957167,957334,921,-,168,modulation factor,0
929,0,0,40,28,30,28,0,0,968200,969495,929,+,1296,,0
947,0,0,0,2,0,2,0,0,990361,991458,947,-,1098,II secretion inner membrane protein (PulF),0
967,2,1,85,107,64,107,0,0,1012426,1012842,967,+,417,hypothetical protein,0
984,0,0,0,6,0,6,0,0,1036852,1037343,984,+,492,Acetyltransferase,0
990,0,0,109,0,83,0,0,0,1042794,1043078,990,+,285,host factor beta subunit,0
1000,0,0,12,0,9,0,0,0,1047598,1047732,1000,-,135,protein,0
1209,0,0,0,2,0,2,0,0,1286599,1287273,1209,+,675,oxidoreductase chain B (EC 1.6.5.3),0
1215,0,0,0,7,0,7,0,0,1294895,1295437,1215,+,543,oxidoreductase chain I (EC 1.6.5.3),0
1218,0,0,11,0,8,0,0,0,1296291,1298138,1218,+,1848,oxidoreductase chain L (EC 1.6.5.3),0
1259,2,0,4,8,3,8,0,0,1360579,1361355,1259,+,777,"B12 ABC transporter, ATPase component BtuD",0
1302,0,0,23,3,17,3,0,0,1410196,1410342,1302,+,147,protein,0
1372,0,0,104,169,79,169,0,0,1481868,1482398,1372,-,531,(5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase (EC 3.6.1.-),0
1395,0,0,0,13,0,13,0,0,1511672,1514485,1395,-,2814,synthetase (EC 6.1.1.5),0
1419,0,0,18,0,14,0,0,0,1536363,1537316,1419,-,954,(EC 2.2.1.2),0
1437,0,0,29,0,22,0,0,0,1556434,1557180,1437,-,747,transporter,0
1442,0,0,4,31,3,31,0,0,1562258,1562383,1442,-,126,protein,0
1452,0,0,0,5,0,5,0,0,1581709,1582374,1452,-,666,homeostasis protein CutF precursor / Lipoprotein NlpE involeved in surface adhesion,0
1453,0,0,11,22,8,22,0,0,1582709,1582975,1453,+,267,inhibitor of transcription termination (YaeO),0
1464,0,0,204,203,154,203,0,0,1596301,1597656,1464,-,1356,"protease RasP/YluC, implicated in cell division based on FtsL cleavage",0
1510,0,0,0,5,0,5,0,0,1644298,1646931,1510,-,2634,dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10),0
1511,0,0,5,11,4,11,0,0,1647342,1647986,1511,+,645,antibiotic resistance protein marC,0
1518,0,0,14,0,11,0,0,0,1656085,1656414,1518,-,330,hypothetical protein co-occurring with Cardiolipin synthetase,0
1550,0,0,369,0,279,0,0,0,1694746,1695576,1550,+,831,"dehydrogenase E2 component, probable",0
1552,0,0,5,6,4,6,0,0,1699137,1700111,1552,+,975,regulon transcriptional activator CysB,0
1583,0,0,72,123,55,123,0,0,1741450,1742760,1583,-,1311,tail sheath protein FI,0
1694,0,0,0,6,0,6,0,0,1842789,1843199,1694,+,411,1,0
1756,0,0,52,12,39,12,0,0,1909801,1910382,1756,-,582,triphosphate deaminase (EC 3.5.4.13),0
1815,0,1,52,65,39,65,0,0,1970953,1971876,1815,+,924,(EC 3.5.3.11),0
1817,0,0,19,0,14,0,0,0,1972400,1972633,1817,-,234,"host death protein, Phd antitoxin",0
1886,0,2,1067,431,809,431,0,0,2046364,2047236,1886,+,873,involved in stability of MscS mechanosensitive channel,0
1887,2,0,15,14,11,14,0,0,2047349,2047729,1887,-,381,protein,0
1908,0,0,14,0,11,0,0,0,2070754,2071098,1908,-,345,protein,0
1915,0,0,180,218,136,218,0,0,2085804,2087657,1915,+,1854,V alpha chain (EC 3.1.11.5),0
1943,0,0,539,526,408,526,0,0,2111552,2111788,1943,-,237,hypothetical protein,0
1958,1,0,20,10,15,10,0,0,2122895,2123020,1958,-,126,protein,0
2092,0,0,11,0,8,0,0,0,2288995,2289285,2092,+,291,merR family bacterial regulatory protein,0
2104,1,0,43,0,33,0,0,0,2298031,2298594,2104,-,564,nudix hydrolase YeaB,0
2124,0,0,0,5,0,5,0,0,2312255,2312803,2124,-,549,hypothetical protein,0
2177,0,0,26,10,20,10,0,0,2359187,2360278,2177,-,1092,and nucleic acid-binding protein YchF,0
2242,0,0,37,0,28,0,0,0,2453366,2453620,2242,+,255,protein (antitoxin to VapC),0
2243,0,0,3,3,2,3,0,0,2453620,2454036,2243,+,417,toxin protein,0
2246,2,0,130,101,98,101,0,0,2454762,2454887,2246,+,126,toxin protein,0
2251,0,0,81,57,62,57,0,0,2459302,2459556,2251,-,255,hypothetical protein,0
2268,0,0,6,20,5,20,0,0,2480307,2480933,2268,+,627,response regulator BvgR protein,0
2302,0,0,3,0,2,0,0,0,2518270,2518692,2302,+,423,"regulator, MarR family",0
2350,0,0,15,41,11,41,0,0,2567641,2568513,2350,-,873,protein,0
2351,0,0,0,4,0,4,0,0,2568573,2568710,2351,-,138,protein,0
2403,0,0,0,4,0,4,0,0,2614528,2618556,2403,+,4029,RNA polymerase beta subunit (EC 2.7.7.6),0
2455,0,0,22,0,17,0,0,0,2666802,2668919,2455,-,2118,"III secretion inner membrane channel protein (LcrD,HrcV,EscV,SsaV)",0
2456,0,0,46,46,35,46,0,0,2668916,2669245,2456,-,330,protein YscY (Yop proteins translocation protein Y),0
2483,0,0,0,19,0,19,0,0,2689068,2689460,2483,+,393,III secretion chaperone protein for YopE (SycE),0
2642,0,0,0,2,0,2,0,0,2854370,2854507,2642,-,138,protein,0
2683,2,0,17,3,13,3,0,0,2893108,2894649,2683,+,1542,acid synthase (EC 6.3.5.10),0
2708,0,0,53,24,40,24,0,0,2911157,2911822,2708,+,666,synthase / Precorrin-2 oxidase (EC 1.3.1.76) / Sirohydrochlorin ferrochelatase (EC 4.99.1.4),0
2710,0,0,169,104,128,104,0,0,2912395,2912562,2710,-,168,DNA-binding protein,0
2740,0,0,4,0,3,0,0,0,2946280,2947143,2740,+,864,family transcriptional regulator YeiE,0
2757,0,0,0,4,0,4,0,0,2965468,2965776,2757,-,309,protein,0
2763,0,0,45,46,34,46,0,0,2971820,2972278,2763,+,459,hypothetical protein,0
2812,0,0,48,0,37,0,0,0,3042114,3042257,2812,-,144,protein,0
2827,1,0,0,7,0,7,0,0,3061109,3061612,2827,-,504,Acetyltransferase (EC 2.3.1.-),0
2843,0,0,0,12,0,12,0,0,3082921,3083805,2843,-,885,nlpI precursor,0
2844,0,0,22,23,17,23,0,0,3083931,3086060,2844,-,2130,nucleotidyltransferase (EC 2.7.7.8),0
2876,0,0,31,54,23,54,0,0,3112613,3116386,2876,-,3774,protein YtfN,0
2905,0,0,0,14,0,14,0,0,3145020,3146300,2905,-,1281,protein HflX,0
2964,0,0,59,149,45,149,0,0,3219754,3221085,2964,+,1332,amino acid transport system carrier protein,0
2969,0,0,206,0,156,0,0,0,3228525,3229256,2969,-,732,Uncharacterized conserved protein,0
2972,0,0,12,8,9,8,0,0,3231388,3231750,2972,+,363,hibernation protein YfiA,0
3051,0,0,0,8,0,8,0,0,3318265,3319191,3051,+,927,hypothetical protein,0
3069,0,0,0,6,0,6,0,0,3335422,3336498,3069,+,1077,motility protein PilT,0
3082,0,0,7,26,5,26,0,0,3351761,3352111,3082,-,351,hypothetical protein,0
3128,0,0,0,67,0,67,0,0,3404445,3404708,3128,+,264,lipoate regulatory protein YbeD,0
3160,0,0,299,0,226,0,0,0,3437017,3437994,3160,+,978,LPS biosynthesis protein,0
3161,0,0,16,22,12,22,0,0,3437991,3438605,3161,+,615,glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-),0
3163,1,0,409,560,309,560,0,0,3439419,3440453,3163,+,1035,"4,6-dehydratase (EC 4.2.1.-)",0
3164,0,0,30,79,23,79,0,0,3440457,3441563,3164,+,1107,,0
3166,0,0,145,184,110,184,0,0,3442696,3443907,3166,+,1212,glycosyltransferase,0
3198,0,0,0,7,0,7,0,0,3477394,3478815,3198,-,1422,biosynthesis monooxygenase UbiB,0
3294,0,0,30,12,23,12,0,0,3586972,3588051,3294,+,1080,transport complex protein RnfD,0
3295,0,0,0,8,0,8,0,0,3588061,3588690,3295,+,630,transport complex protein RnfG,0
3314,0,0,160,113,121,113,0,0,3608020,3608484,3314,+,465,"host death protein, Phd antitoxin",0
3325,0,0,7,0,5,0,0,0,3618376,3618507,3325,-,132,protein,0
3420,0,0,9,0,7,0,0,0,3713555,3713719,3420,+,165,hypothetical protein,0
3428,0,0,0,2,0,2,0,0,3720568,3722487,3428,+,1920,putative,0
3457,0,0,0,11,0,11,0,0,3757087,3757212,3457,-,126,protein,0
3541,1,0,123,26,93,26,0,0,3864854,3864994,3541,+,141,protein,0
3634,0,0,486,300,368,300,0,0,3960181,3960366,3634,-,186,"ferredoxin, iron-sulfur binding",0
3661,0,0,35,4,27,4,0,0,3986159,3987385,3661,-,1227,NADH-quinone reductase subunit F (EC 1.6.5.-),0
3662,0,0,162,0,123,0,0,0,3987401,3987997,3662,-,597,NADH-quinone reductase subunit E (EC 1.6.5.-),0
3704,0,0,0,2,0,2,0,0,4043603,4044319,3704,-,717,dehydrogenase iron-sulfur protein (EC 1.3.99.1),0
3726,0,0,49,0,37,0,0,0,4069000,4070640,3726,-,1641,(EC 5.4.2.2),0
3858,1,0,223,321,169,321,0,0,4227528,4228358,3858,-,831,uptake facilitator protein,0
3906,0,0,0,6,0,6,0,0,4289515,4289637,3906,-,123,protein,0
3908,1,1,5,0,4,0,0,0,4293470,4293766,3908,+,297,hypothetical protein,0
3922,2,0,1,1,1,1,0,0,4306396,4307112,3922,-,717,SAM-dependent methyltransferase (EC 2.1.1.-),0
3977,0,0,0,5,0,5,0,0,4374556,4374681,3977,+,126,protein,0
4036,0,0,0,3,0,3,0,0,4466655,4468073,4036,+,1419,probable permease,0
4185,0,0,4,3,3,3,0,0,4672004,4672921,4185,-,918,formyltransferase (EC 2.1.2.9),0
4189,0,0,188,185,142,185,0,0,4675806,4676639,4189,-,834,protein,0
4247,0,0,122,98,92,98,0,0,4729059,4729802,4247,+,744,hypothetical protein YebC,0
4251,0,0,0,15,0,15,0,0,4732248,4733042,4251,-,795,"ABC transporter, inner membrane permease protein ZnuB",0
4252,0,0,518,0,392,0,0,0,4733030,4733788,4252,-,759,"ABC transporter, ATP-binding protein ZnuC",0
4253,0,0,10,19,8,19,0,0,4733865,4734812,4253,+,948,"ABC transporter, periplasmic-binding protein ZnuA",0
4267,0,0,22,9,17,9,0,0,4749332,4751263,4267,+,1932,family ATP-dependent helicase YoaA,0
4273,0,0,0,40,0,40,0,0,4754348,4756036,4273,+,1689,ligase (EC 6.2.1.3),0
4291,0,0,9,0,7,0,0,0,4772524,4772661,4291,-,138,protein,0
4298,0,0,122,207,92,207,0,0,4786150,4786692,4298,-,543,membrane protein,0
4336,0,0,0,2,0,2,0,0,4820387,4820788,4336,-,402,membrane protein,0
4341,0,0,15,6,11,6,0,0,4825630,4826499,4341,-,870,taurine dioxygenase (EC 1.14.11.17),0
4388,0,0,0,13,0,13,0,0,4872563,4873002,4388,+,440,hypothetical protein,0
4441,0,0,0,2,0,2,0,0,4931654,4931773,4441,-,120,protein,0
4445,0,0,18,0,14,0,0,0,4934678,4934980,4445,+,303,hypothetical protein,0
4472,0,0,321,209,243,209,0,0,4964912,4965025,4472,-,114,protein,0
4532,0,0,18,8,14,8,0,0,5023772,5024248,4532,-,477,biosynthesis protein FliL,0
4540,0,0,6,0,5,0,0,0,5031029,5031157,4540,-,129,protein,0
4545,0,0,34,85,26,85,0,0,5033605,5033958,4545,-,354,biosynthesis protein FliS,0
4561,0,0,0,18,0,18,0,0,5053374,5053496,4561,-,123,protein,0
4716,0,0,69,68,52,68,0,0,5241967,5242629,4716,-,663,hypothetical protein,0
4717,0,0,10,20,8,20,0,0,5242677,5242949,4717,-,273,protein HU-alpha,0
4814,1,1,474,823,359,823,0,0,5335846,5336271,4814,+,426,transport protein ExbD/TolR,0
4823,1,0,128,229,97,229,0,0,5340451,5340762,4823,-,312,element protein,0
4837,0,0,34,19,26,19,0,0,5350735,5351115,4837,+,381,unknown,0
4841,1,0,148,131,112,131,0,0,5352963,5353178,4841,+,216,protein,0
4877,0,0,34,27,26,27,0,0,5395215,5395628,4877,+,414,unknown,0
4813,1,3,1761,1174,1333,1174,0,1,5334820,5335842,4813,+,1023,proton channel family protein,0.000398883127244
1134,0,2,545,568,413,568,0,1,1206404,1206913,1134,-,510,"Sigma factor, ECF subfamily",0.001019367991845
63,0,2,377,521,285,521,0,1,68566,70188,63,+,1623,5'-phosphosulfate sulfurtransferase DndC,0.001240694789082
3487,6,0,1026,0,777,0,1,0,3797307,3798539,3487,-,1233,genome; segment 3/17,0.001287001287001
1263,0,2,393,417,298,417,0,1,1365635,1366528,1263,+,894,"resistance protein PmrJ, predicted deacetylase",0.001398601398601
1528,6,0,180,430,137,430,1,0,1665075,1665845,1528,-,771,"protein YciC, linked to IspA",0.001763668430335
1200,5,1,262,296,200,296,1,0,1276233,1278053,1200,+,1821,protein TypA/BipA,0.002016129032258
2935,12,3,1077,942,816,942,3,1,3180242,3181744,2935,+,1503,polymerase (EC 2.7.7.19),0.002275312855518
4504,1,3,508,20,385,20,0,1,5002598,5002939,4504,-,342,protein,0.002469135802469
1855,0,8,651,90,493,90,0,2,2016335,2016859,1855,+,525,monitor precursor,0.003430531732419
1978,3,49,1323,1287,1002,1287,0,12,2146258,2147487,1978,+,1230,probable transporter,0.00524246395806
516,14,0,363,289,275,289,3,0,517053,518945,516,+,1893,protein HtpG,0.00531914893617
3,8,0,86,240,65,240,2,0,3554,4861,3,+,1308,lyase (EC 4.1.3.1),0.00655737704918
2774,0,4,81,76,61,76,0,1,2986927,2987826,2774,+,900,hypothetical protein,0.007299270072993
239,6,3,77,212,59,212,1,1,245907,247082,239,-,1176,(EC 2.4.1.-),0.007380073800738
899,10,0,131,155,99,155,2,0,939678,940283,899,+,606,protein,0.007874015748032
2393,31,54,1209,1609,916,1609,7,14,2608214,2608579,2393,+,366,hypothetical protein,0.008316831683168
2727,10,80,1516,1520,1148,1520,2,21,2934416,2935117,2727,+,702,small subunit pseudouridine synthase A (EC 4.2.1.70),0.008620689655172
199,4,3,248,39,188,39,1,1,205164,206228,199,-,1065,transport ATP-binding protein ModC (TC 3.A.1.8.1),0.008810572687225
2820,0,3,39,81,30,81,0,1,3055928,3056392,2820,+,465,carbamoyltransferase regulatory chain (PyrI),0.009009009009009
4396,3,24,356,485,270,485,1,6,4882797,4883636,4396,-,840,phosphodiesterase (EC 3.1.4.17),0.009271523178808
2748,1,84,1293,1268,979,1268,0,22,2959059,2960489,2748,-,1431,I (EC 3.1.11.1),0.009790832220739
4244,36,0,1162,34,880,34,9,0,4726581,4726721,4244,-,141,protein,0.009846827133479
3831,13,17,290,355,219,355,2,4,4198223,4198390,3831,-,168,"peptide synthetase modules, pyoverdine??",0.010452961672474
2088,12,40,555,703,420,703,3,10,2283823,2285196,2088,-,1374,VII large subunit (EC 3.1.11.6),0.011576135351737
159,24,0,270,310,204,310,6,0,165320,166765,159,+,1446,symporter (TC 2.A.21.1.1),0.011673151750973
510,12,0,175,119,133,119,3,0,512295,512462,510,-,168,hypothetical protein,0.011904761904762
1363,9,0,8,156,6,156,2,0,1474197,1474379,1363,-,183,hypothetical protein,0.012345679012346
2699,26,0,210,324,159,324,6,0,2903543,2904187,2699,+,645,protein,0.012422360248447
4205,125,58,1923,2099,1457,2099,30,15,4691034,4692050,4205,-,1017,"[Alcaligin-like] transport system, substrate-binding component @ Iron-siderophore transport system, substrate-binding component",0.012654668166479
2225,11,5,109,221,83,221,3,1,2413386,2414429,2225,+,1044,hypothetical protein,0.013157894736842
1029,20,0,463,12,351,12,5,0,1082123,1083388,1029,-,1266,facilitator superfamily MFS_1 transporter,0.013774104683196
2098,1,28,177,366,134,366,0,7,2292421,2292564,2098,-,144,protein,0.014
2232,2,25,286,272,217,272,0,7,2422374,2423471,2232,-,1098,imide reductase in siderophore biosynthesis gene cluster,0.014314928425358
4266,88,136,2176,2139,1648,2139,21,35,4748887,4749231,4266,-,345,"superfamily, group 2, YoaB-like protein",0.014787430683919
2123,37,0,152,465,115,465,9,0,2310676,2312067,2123,-,1392,uptake protein TcyP,0.01551724137931
4757,5,2,21,46,16,46,1,0,5281170,5281631,4757,-,462,specific protein,0.016129032258065
2055,1,39,327,357,248,357,0,10,2242856,2243401,2055,-,546,cleavage system transcriptional antiactivator GcvR,0.016528925619835
4420,30,0,549,0,416,0,7,0,4902135,4902755,4420,+,621,protein,0.016826923076923
2724,42,0,246,401,186,401,10,0,2930821,2931825,2724,+,1005,protein NdpA,0.017035775127768
3765,24,290,2991,2185,2265,2185,5,75,4113167,4114756,3765,-,1590,chain release factor 3,0.017977528089888
1971,7,8,78,157,59,157,2,2,2139503,2140045,1971,-,543,protein,0.018518518518519
170,0,2,29,31,22,31,0,1,175783,177060,170,-,1278,amino acid transport system permease protein LivM (TC 3.A.1.4.1),0.018867924528302
182,14,1,52,118,39,118,3,0,186562,187119,182,+,558,rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171),0.019108280254777
1048,15,14,183,221,138,221,4,3,1107869,1108315,1048,-,447,baseplate assembly protein W,0.01949860724234
1514,16,32,247,411,187,411,4,8,1652039,1652959,1514,+,921,transport system permease protein OppB (TC 3.A.1.5.1),0.020066889632107
2148,49,17,509,350,385,350,11,4,2334245,2334673,2148,+,429,stress protein G,0.020408163265306
505,87,27,762,761,578,761,21,7,507697,508338,505,+,642,"repressor of multidrug efflux pump acrAB operon, TetR (AcrR) family",0.020911127707244
64,70,687,5074,5428,3844,5428,17,179,70190,72190,64,+,2001,sulfur modification protein DndD,0.02113891285591
565,17,0,58,145,44,145,4,0,575512,576201,565,+,690,basal-body rod modification protein FlgD,0.021164021164021
3568,17,14,150,264,114,264,4,4,3894619,3894783,3568,+,165,hypothetical protein,0.021164021164021
1858,6,1,62,0,47,0,1,0,2020210,2020407,1858,-,198,zinc-binding protein,0.021276595744681
4001,25,38,352,481,267,481,6,10,4414821,4414946,4001,-,126,protein,0.021390374331551
4743,32,488,2979,3701,2256,3701,7,127,5261422,5261775,4743,-,354,protein,0.022494544233675
187,26,3,127,211,96,211,6,1,191302,191976,187,+,675,preQ0 transporter,0.022801302931596
4788,138,49,1017,1164,770,1164,33,13,5310828,5311067,4788,-,240,element protein,0.023784901758015
1040,233,153,2613,1928,1978,1928,55,39,1093890,1094732,1040,-,843,protein,0.024065540194573
4680,58,1,291,331,220,331,14,0,5199806,5200831,4680,+,1026,putative membrane protein,0.02540834845735
3727,34,0,156,171,118,171,8,0,4070700,4071224,3727,-,525,"protein, negative modulator of initiation of replication",0.027681660899654
1098,104,0,571,464,432,464,25,0,1168436,1169821,1098,-,1386,transport protein (permease),0.027901785714286
4657,8,13,106,96,80,96,2,3,5173669,5174064,4657,+,396,protein,0.028409090909091
1206,9,1,45,34,34,34,2,0,1282462,1283682,1206,-,1221,transaminase (EC 2.6.1.2),0.029411764705882
1497,131,1,460,700,348,700,31,0,1632163,1632654,1497,+,492,"desulfurase CsdA-CsdE, sulfur acceptor protein CsdE",0.029580152671756
2325,153,512,3026,3416,2291,3416,36,134,2538158,2539390,2325,+,1233,hydroxylase (EC 1.14.13.1),0.029787979674085
4833,33,5,387,0,293,0,8,1,5347477,5347689,4833,-,213,protein ImpA,0.030716723549488
1608,264,706,4581,4548,3469,4548,63,184,1772775,1773710,1608,+,936,an inner membrane protein involved in bile resistance,0.030809529749283
4701,22,0,36,135,27,135,5,0,5221142,5221912,4701,-,771,"transporter, CysZ-type",0.030864197530864
2940,44,31,278,370,210,370,10,8,3184613,3185383,2940,-,771,"multidrug transport system, permease component",0.031034482758621
2195,56,0,549,0,416,0,13,0,2385356,2385487,2195,+,132,protein,0.03125
4780,12,61,330,307,250,307,2,16,5306481,5306954,4780,+,474,protein HecA precursor,0.032315978456014
3273,50,43,428,379,324,379,12,11,3568997,3569953,3273,+,957,replication terminus site-binding protein,0.03271692745377
4227,733,857,6403,7170,4848,7170,175,223,4715379,4715780,4227,-,402,isomerase-related protein,0.033116991179897
2753,5,0,9,23,7,23,1,0,2962401,2962553,2753,+,153,membrane protein YPO1482,0.033333333333333
208,30,43,264,336,200,336,7,11,214407,214814,208,-,408,dehydratase,0.033582089552239
2085,5,7,52,47,39,47,1,2,2278394,2279194,2085,+,801,"siderophore transport system, periplasmic binding protein TonB",0.034883720930233
3848,3,307,2078,734,1574,734,1,80,4219462,4220433,3848,+,972,(EC 2.7.1.11),0.035095320623917
2562,25,0,69,87,52,87,5,0,2770044,2770199,2562,-,156,protein,0.035971223021583
4451,256,97,2136,752,1617,752,61,25,4938961,4939701,4451,-,741,short-chain dehydrogenase/reductase family,0.036302237230899
3156,168,0,602,633,455,633,40,0,3431968,3432738,3156,+,771,acid biosynthesis protein PtmA,0.036764705882353
678,28,30,114,310,86,310,7,8,698685,699836,678,+,1152,synthase (EC 2.1.1.79),0.037878787878788
4216,3,97,562,260,426,260,1,25,4704731,4706272,4216,+,1542,"system, maltose and glucose-specific IIC component (EC 2.7.1.69) / PTS system, maltose and glucose-specific IIB component (EC 2.7.1.69)",0.037900874635569
4880,0,17,6,100,5,100,0,4,5403389,5403505,4880,-,117,protein,0.038095238095238
588,36,0,144,126,109,126,9,0,606343,606975,588,+,633,protein; Some similarities with phosphoglycolate phosphatases and phosphoglucomutases,0.038297872340426
2672,4,56,157,281,119,281,1,15,2884037,2884996,2672,+,960,synthase (EC 6.3.1.10),0.04
1224,57,0,413,0,313,0,13,0,1303314,1304375,1224,-,1062,hypothetical protein,0.041533546325879
4506,10,314,2184,342,1654,342,2,83,5003659,5003796,4506,-,138,protein,0.042585170340681
1553,1,84,273,280,207,280,0,22,1700161,1700988,1553,-,828,hypothetical protein,0.04517453798768
2442,62,106,430,599,326,599,15,27,2657959,2658360,2442,-,402,protein; Some similarities with phage structural protein P5,0.045405405405405
240,3,0,29,0,22,0,1,0,247063,248181,240,-,1119,(EC 2.4.1.-),0.045454545454546
4547,269,238,1567,1528,1187,1528,65,63,5035796,5036794,4547,+,999,biosynthesis protein FliC,0.047145488029466
2743,3,0,24,3,18,3,1,0,2950265,2951344,2743,+,1080,dicitrate transport system permease protein FecD (TC 3.A.1.14.1),0.047619047619048
2332,0,228,591,766,448,766,0,60,2546715,2546870,2332,-,156,element protein,0.049423393739704
2008,0,73,182,246,138,246,0,19,2194050,2195429,2008,+,1380,amino acid transport protein AroP,0.049479166666667
1023,0,2,26,0,20,0,0,1,1072377,1072649,1023,-,273,protein,0.05
4370,1,4,27,0,20,0,0,1,4854023,4854136,4370,+,114,protein,0.05
4192,45,535,1670,1720,1265,1720,11,139,4678982,4679452,4192,-,471,"protein PaaI, possibly involved in aromatic compounds catabolism",0.050251256281407
1730,83,166,1394,172,1056,172,20,43,1879928,1881226,1730,+,1299,transporter,0.051302931596091
1186,1,73,235,182,178,182,0,19,1262182,1262304,1186,+,123,periplasmic protein precursor,0.052777777777778
1916,0,97,202,317,153,317,0,25,2089013,2089201,1916,+,189,protein,0.053191489361702
3230,39,2,155,69,117,69,9,1,3515704,3517806,3230,+,2103,DNA helicase RecQ,0.053763440860215
943,29,214,842,510,638,510,7,56,984334,986076,943,-,1743,YcbB,0.054878048780488
1975,0,55,234,75,178,75,0,14,2143446,2144912,1975,+,1467,semialdehyde dehydrogenase (EC 1.2.1.60),0.055335968379447
4707,7,9,47,18,36,18,1,2,5229869,5230078,4707,+,210,protein,0.055555555555556
490,13,0,49,16,37,16,3,0,489000,490871,490,+,1872,cis-trans isomerase PpiD (EC 5.2.1.8),0.056603773584906
2359,3,31,45,122,34,122,1,8,2574643,2576004,2359,-,1362,"dioxygenase, alpha subunit (EC 1.14.12.19)",0.057692307692308
1750,878,1107,10887,273,8245,273,208,288,1901585,1902205,1750,+,621,hypothetical protein,0.058229631368866
4031,401,175,1229,1473,931,1473,95,45,4459374,4461320,4031,-,1947,"alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4) / Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)",0.058236272878536
2794,147,489,1395,1648,1056,1648,35,127,3005320,3005442,2794,+,123,protein,0.05991124260355
3964,130,179,636,753,482,753,31,46,4362674,4363300,3964,-,627,threonine efflux protein,0.062348178137652
752,146,0,509,166,385,166,35,0,791830,792084,752,+,255,protein (antitoxin to YoeB),0.063520871143376
3593,218,682,1872,2138,1418,2138,52,178,3917095,3917952,3593,-,858,protein,0.064679415073116
3794,0,12,9,38,7,38,0,3,4135883,4136965,3794,-,1083,"1,6-galactosyltransferase (EC 2.4.1.-)",0.066666666666667
2022,91,166,558,516,423,516,21,43,2213526,2214455,2022,+,930,preferring nucleoside hydrolase (EC 3.2.2.1),0.068157614483493
3022,21,68,64,278,48,278,5,18,3285957,3287480,3022,-,1524,protein,0.070552147239264
3607,384,1040,5776,690,4374,690,90,271,3930575,3931543,3607,-,969,invasin,0.071287519747235
2021,5,0,0,14,0,14,1,0,2211692,2212897,2021,-,1206,transporter MdtA,0.071428571428572
